Time[ms];pwmL[us];curL[mA];volL[mV];pwmR[us];curR[mA];volR[mV];strini[uint10]
4918;0;0;0;0;0;0;0
4971;0;0;0;0;0;0;0
5025;0;0;0;0;0;0;0
5079;0;0;0;0;0;0;0
5132;0;0;0;0;0;0;0
5186;0;0;0;0;0;0;0
5239;0;0;0;0;0;0;0
5294;0;0;0;0;0;0;0
5347;0;0;0;0;0;0;0
5401;0;0;0;0;0;0;0
5454;0;0;0;0;0;0;0
5509;0;0;0;0;0;0;0
5562;0;0;0;0;0;0;0
5616;0;0;0;0;0;0;0
5669;0;0;0;0;0;0;0
5724;0;0;0;0;0;0;0
5777;0;0;0;0;0;0;0
5831;0;0;0;0;0;0;0
5884;0;0;0;0;0;0;0
5938;0;0;0;0;0;0;0
5992;0;0;0;0;0;0;0
6045;0;0;0;0;0;0;0
6102;0;0;0;0;0;0;0
6156;0;0;0;0;0;0;0
6209;0;0;0;0;0;0;0
6263;0;0;0;0;0;0;0
6317;0;0;0;0;0;0;0
6371;0;0;0;0;0;0;0
6424;0;0;0;0;0;0;0
6478;0;0;0;0;0;0;0
6532;0;0;0;0;0;0;0
6586;0;0;0;0;0;0;0
6639;0;0;0;0;0;0;0
6693;0;0;0;0;0;0;0
6747;0;0;0;0;0;0;0
6800;0;0;0;0;0;0;0
6854;0;0;0;0;0;0;0
6907;0;0;0;0;0;0;0
6962;0;0;0;0;0;0;0
7015;0;0;0;0;0;0;0
7069;0;0;0;0;0;0;0
7122;0;0;0;0;0;0;0
7177;0;0;0;0;0;0;0
7230;0;0;0;0;0;0;0
7284;0;0;0;0;0;0;0
7337;0;0;0;0;0;0;0
7392;0;0;0;0;0;0;0
7445;0;0;0;0;0;0;0
7501;0;0;0;0;0;0;0
7556;0;0;0;0;0;0;0
7609;0;0;0;0;0;0;0
7663;0;0;0;0;0;0;0
7716;0;0;0;0;0;0;0
7770;0;0;0;0;0;0;0
7824;0;0;0;0;0;0;0
7877;0;0;0;0;0;0;0
7931;0;0;0;0;0;0;0
7985;0;0;0;0;0;0;0
8039;0;0;0;0;0;0;0
8092;0;0;0;0;0;0;0
8146;0;0;0;0;0;0;0
8200;0;0;0;0;0;0;0
8254;0;0;0;0;0;0;0
8307;0;0;0;0;0;0;0
8361;0;0;0;0;0;0;0
8415;0;0;0;0;0;0;0
8469;0;0;0;0;0;0;0
8522;0;0;0;0;0;0;0
8577;0;0;0;0;0;0;0
8630;0;0;0;0;0;0;0
8683;0;0;0;0;0;0;0
8737;0;0;0;0;0;0;0
8791;0;0;0;0;0;0;0
8847;0;0;0;0;0;0;0
8901;0;0;0;0;0;0;0
8954;0;0;0;0;0;0;0
9009;0;0;0;0;0;0;0
9062;0;0;0;0;0;0;0
9116;0;0;0;0;0;0;0
9169;0;0;0;0;0;0;0
9224;0;0;0;0;0;0;0
9277;0;0;0;0;0;0;0
9331;0;0;0;0;0;0;0
9384;0;0;0;0;0;0;0
9439;0;0;0;0;0;0;0
9492;0;0;0;0;0;0;0
9546;0;0;0;0;0;0;0
9600;0;0;0;0;0;0;0
9653;0;0;0;0;0;0;0
9707;0;0;0;0;0;0;0
9760;0;0;0;0;0;0;0
9815;0;0;0;0;0;0;0
9868;0;0;0;0;0;0;0
9922;0;0;0;0;0;0;0
9975;0;0;0;0;0;0;0
10030;0;0;0;0;0;0;0
10083;0;0;0;0;0;0;0
10137;0;0;0;0;0;0;0
10190;0;0;0;0;0;0;0
10252;0;0;0;0;0;0;0
10305;0;0;0;0;0;0;0
10366;0;0;0;0;0;0;0
10424;0;0;0;0;0;0;0
10477;0;0;0;0;0;0;0
10531;0;0;0;0;0;0;0
10585;0;0;0;0;0;0;0
10639;0;0;0;0;0;0;0
10692;0;0;0;0;0;0;0
10746;0;0;0;0;0;0;0
10800;0;0;0;0;0;0;0
10854;0;0;0;0;0;0;0
10907;0;0;0;0;0;0;0
10961;0;0;0;0;0;0;0
11015;0;0;0;0;0;0;0
11069;0;0;0;0;0;0;0
11122;0;0;0;0;0;0;0
11176;0;0;0;0;0;0;0
11230;0;0;0;0;0;0;0
11284;0;0;0;0;0;0;0
11337;0;0;0;0;0;0;0
11392;0;0;0;0;0;0;0
11445;0;0;0;0;0;0;0
11499;0;0;0;0;0;0;0
11555;0;0;0;0;0;0;0
11609;0;0;0;0;0;0;0
11663;0;0;0;0;0;0;0
11716;0;0;0;0;0;0;0
11770;0;0;0;0;0;0;0
11824;0;0;0;0;0;0;0
11877;0;0;0;0;0;0;0
11931;0;0;0;0;0;0;0
11984;0;0;0;0;0;0;0
12039;0;0;0;0;0;0;0
12092;0;0;0;0;0;0;0
12146;0;0;0;0;0;0;0
12199;0;0;0;0;0;0;0
12254;0;0;0;0;0;0;0
12307;0;0;0;0;0;0;0
12361;0;0;0;0;0;0;0
12414;0;0;0;0;0;0;0
12469;0;0;0;0;0;0;0
12522;0;0;0;0;0;0;0
12576;0;0;0;0;0;0;0
12630;0;0;0;0;0;0;0
12684;0;0;0;0;0;0;0
12737;0;0;0;0;0;0;0
12791;0;0;0;0;0;0;0
12845;0;0;0;0;0;0;0
12901;0;0;0;0;0;0;0
12955;0;0;0;0;0;0;0
13008;0;0;0;0;0;0;0
13063;0;0;0;0;0;0;0
13116;0;0;0;0;0;0;0
13170;0;0;0;0;0;0;0
13223;0;0;0;0;0;0;0
13278;0;0;0;0;0;0;0
13331;0;0;0;0;0;0;0
13385;0;0;0;0;0;0;0
13438;0;0;0;0;0;0;0
13493;0;0;0;0;0;0;0
13546;0;0;0;0;0;0;0
13600;0;0;0;0;0;0;0
13654;0;0;0;0;0;0;0
13708;0;0;0;0;0;0;0
13761;0;0;0;0;0;0;0
13814;0;0;0;0;0;0;0
13869;0;0;0;0;0;0;0
13922;0;0;0;0;0;0;0
13976;0;0;0;0;0;0;0
14029;0;0;0;0;0;0;0
14084;0;0;0;0;0;0;0
14137;0;0;0;0;0;0;0
14193;0;0;0;0;0;0;0
14247;0;0;0;0;0;0;0
14301;0;0;0;0;0;0;0
14355;0;0;0;0;0;0;0
14408;0;0;0;0;0;0;0
14462;0;0;0;0;0;0;0
14516;0;0;0;0;0;0;0
14570;0;0;0;0;0;0;0
14623;0;0;0;0;0;0;0
14678;0;0;0;0;0;0;0
14731;0;0;0;0;0;0;0
14785;0;0;0;0;0;0;0
14838;0;0;0;0;0;0;0
14893;0;0;0;0;0;0;0
14946;0;0;0;0;0;0;0
15000;0;0;0;0;0;0;0
15053;0;0;0;0;0;0;0
15108;0;0;0;0;0;0;0
15161;0;0;0;0;0;0;0
15215;0;0;0;0;0;0;0
15268;0;0;0;0;0;0;0
15323;0;0;0;0;0;0;0
15376;0;0;0;0;0;0;0
15430;0;0;0;0;0;0;0
15486;0;0;0;0;0;0;0
15540;0;0;0;0;0;0;0
15593;0;0;0;0;0;0;0
15647;0;0;0;0;0;0;0
15700;0;0;0;0;0;0;0
15755;0;0;0;0;0;0;0
15815;0;0;0;0;0;0;0
15873;0;0;0;0;0;0;0
15927;0;0;0;0;0;0;0
15980;0;0;0;0;0;0;0
16034;0;0;0;0;0;0;0
16088;0;0;0;0;0;0;0
16142;0;0;0;0;0;0;0
16195;0;0;0;0;0;0;0
16249;0;0;0;0;0;0;0
16303;0;0;0;0;0;0;0
16357;0;0;0;0;0;0;0
16410;0;0;0;0;0;0;0
16464;0;0;0;0;0;0;0
16518;0;0;0;0;0;0;0
16572;0;0;0;0;0;0;0
16625;0;0;0;0;0;0;0
16679;0;0;0;0;0;0;0
16733;0;0;0;0;0;0;0
16787;0;0;0;0;0;0;0
16843;0;0;0;0;0;0;0
16897;0;0;0;0;0;0;0
16951;0;0;0;0;0;0;0
17004;0;0;0;0;0;0;0
17058;0;0;0;0;0;0;0
17112;0;0;0;0;0;0;0
17166;0;0;0;0;0;0;0
17219;0;0;0;0;0;0;0
17272;0;0;0;0;0;0;0
17327;0;0;0;0;0;0;0
17380;0;0;0;0;0;0;0
17434;0;0;0;0;0;0;0
17487;0;0;0;0;0;0;0
17542;0;0;0;0;0;0;0
17595;0;0;0;0;0;0;0
17649;0;0;0;0;0;0;0
17702;0;0;0;0;0;0;0
17757;0;0;0;0;0;0;0
17810;0;0;0;0;0;0;0
17864;0;0;0;0;0;0;0
17917;0;0;0;0;0;0;0
17972;0;0;0;0;0;0;0
18025;0;0;0;0;0;0;0
18079;0;0;0;0;0;0;0
18136;0;0;0;0;0;0;0
18189;0;0;0;0;0;0;0
18243;0;0;0;0;0;0;0
18296;0;0;0;0;0;0;0
18351;0;0;0;0;0;0;0
18404;0;0;0;0;0;0;0
18458;0;0;0;0;0;0;0
